	label
0	Gun Shot
1	Children Playing
2	Drill
3	Children Playing
4	Jackhammer
5	Siren
6	Street Music
7	Engine Idle
8	Engine Idle
9	Street Music
10	AC
11	Children Playing
12	Children Playing
13	Siren
14	Children Playing
15	Engine Idle
16	Children Playing
17	Jackhammer
18	Children Playing
19	Drill
20	Children Playing
21	Jackhammer
22	Street Music
23	Street Music
24	Street Music
25	Car Horn
26	Jackhammer
27	AC
28	AC
29	Children Playing
30	Jackhammer
31	AC
32	Street Music
33	Jackhammer
34	Gun Shot
35	Street Music
36	Drill
37	Children Playing
38	Car Horn
39	Engine Idle
40	Jackhammer
41	Engine Idle
42	Children Playing
43	Children Playing
44	AC
45	Children Playing
46	Engine Idle
47	Street Music
48	Drill
49	Children Playing
50	Children Playing
51	Car Horn
52	AC
53	AC
54	Jackhammer
55	AC
56	Children Playing
57	Drill
58	Drill
59	Dog
60	Dog
61	AC
62	Street Music
63	Street Music
64	AC
65	Children Playing
66	Car Horn
67	Drill
68	Street Music
69	AC
70	Jackhammer
71	Car Horn
72	Drill
73	Engine Idle
74	Drill
75	Street Music
76	Drill
77	Jackhammer
78	Siren
79	Jackhammer
80	Car Horn
81	Engine Idle
82	Drill
83	Children Playing
84	Dog
85	Siren
86	Street Music
87	Gun Shot
88	Street Music
89	Street Music
90	Dog
91	Siren
92	Drill
93	Siren
94	Children Playing
95	AC
96	Jackhammer
97	Dog
98	Jackhammer
99	Gun Shot
100	Jackhammer
101	Drill
102	Engine Idle
103	Siren
104	AC
105	Street Music
106	Drill
107	Children Playing
108	Gun Shot
109	Jackhammer
110	Jackhammer
111	Siren
112	Street Music
113	Drill
114	AC
115	Car Horn
116	Engine Idle
117	Drill
118	Street Music
119	Children Playing
120	Dog
121	Engine Idle
122	Jackhammer
123	Siren
124	Dog
125	Siren
126	Dog
127	Car Horn
128	Siren
129	Dog
130	Dog
131	Siren
132	Jackhammer
133	Drill
134	Siren
135	Children Playing
136	Engine Idle
137	Siren
138	Children Playing
139	AC
140	Car Horn
141	Children Playing
142	Siren
143	Engine Idle
144	Gun Shot
145	Drill
146	Drill
147	Drill
148	Street Music
149	Dog
150	Dog
151	Dog
152	Street Music
153	Jackhammer
154	AC
155	Car Horn
156	Dog
157	Street Music
158	AC
159	Children Playing
160	Engine Idle
161	Children Playing
162	Engine Idle
163	Street Music
164	Dog
165	Children Playing
166	Dog
167	Drill
168	AC
169	Engine Idle
170	Drill
171	Street Music
172	Engine Idle
173	Jackhammer
174	Drill
175	Dog
176	Street Music
177	AC
178	AC
179	Street Music
180	Street Music
181	Jackhammer
182	Drill
183	Dog
184	Engine Idle
185	Gun Shot
186	Drill
187	Children Playing
188	Dog
189	Children Playing
190	Jackhammer
191	Siren
192	Children Playing
193	Children Playing
194	Street Music
195	Jackhammer
196	Jackhammer
197	Gun Shot
198	Jackhammer
199	Gun Shot
200	Street Music
201	Street Music
202	Children Playing
203	Drill
204	Jackhammer
205	Dog
206	Dog
207	Street Music
208	Drill
209	Street Music
210	AC
211	Engine Idle
212	Dog
213	Children Playing
214	Engine Idle
215	Drill
216	AC
217	Jackhammer
218	Jackhammer
219	AC
220	Children Playing
221	Gun Shot
222	Dog
223	Jackhammer
224	Siren
225	Street Music
226	Siren
227	Street Music
228	Children Playing
229	Street Music
230	Jackhammer
231	AC
232	Car Horn
233	Engine Idle
234	Drill
235	Street Music
236	Car Horn
237	Dog
238	Siren
239	Children Playing
240	Car Horn
241	Dog
242	AC
243	AC
244	AC
245	Car Horn
246	Car Horn
247	Gun Shot
248	Engine Idle
249	Engine Idle
250	Gun Shot
251	Jackhammer
252	Engine Idle
253	Children Playing
254	Children Playing
255	Dog
256	Jackhammer
257	Gun Shot
258	Dog
259	Siren
260	Children Playing
261	Engine Idle
262	Siren
263	Dog
264	Street Music
265	Drill
266	Street Music
267	Jackhammer
268	Siren
269	Children Playing
270	Children Playing
271	Siren
272	Street Music
273	AC
274	Dog
275	Drill
276	Children Playing
277	Street Music
278	Engine Idle
279	Drill
280	Engine Idle
281	Gun Shot
282	Children Playing
283	Children Playing
284	AC
285	Dog
286	Drill
287	Jackhammer
288	AC
289	Jackhammer
290	Siren
291	AC
292	Jackhammer
293	Jackhammer
294	Drill
295	Jackhammer
296	Dog
297	AC
298	Car Horn
299	Dog
300	Street Music
301	Street Music
302	Jackhammer
303	Dog
304	Street Music
305	Siren
306	Street Music
307	Street Music
308	AC
309	AC
310	Engine Idle
311	AC
312	Drill
313	Street Music
314	Children Playing
315	Engine Idle
316	Dog
317	Street Music
318	AC
319	AC
320	Jackhammer
321	Car Horn
322	Drill
323	Children Playing
324	Children Playing
325	Dog
326	Dog
327	Siren
328	Engine Idle
329	AC
330	Drill
331	Engine Idle
332	Dog
333	Drill
334	Children Playing
335	Drill
336	Children Playing
337	Dog
338	Drill
339	Engine Idle
340	Dog
341	Dog
342	Dog
343	Dog
344	Jackhammer
345	Engine Idle
346	Street Music
347	Jackhammer
348	Jackhammer
349	Jackhammer
350	AC
351	Drill
352	AC
353	Dog
354	Street Music
355	Siren
356	AC
357	Drill
358	Drill
359	Siren
360	Jackhammer
361	Jackhammer
362	Jackhammer
363	Siren
364	Drill
365	AC
366	Car Horn
367	Engine Idle
368	Children Playing
369	Dog
370	Jackhammer
371	Engine Idle
372	Street Music
373	Street Music
374	Jackhammer
375	Siren
376	Siren
377	Engine Idle
378	Siren
379	Drill
380	Jackhammer
381	Siren
382	Engine Idle
383	Dog
384	Gun Shot
385	Children Playing
386	AC
387	Children Playing
388	AC
389	Engine Idle
390	Engine Idle
391	Jackhammer
392	Dog
393	Siren
394	Children Playing
395	Street Music
396	Gun Shot
397	Street Music
398	Jackhammer
399	Children Playing
400	Street Music
401	Siren
402	Gun Shot
403	Street Music
404	Siren
405	AC
406	Gun Shot
407	Children Playing
408	Gun Shot
409	Engine Idle
410	Drill
411	Car Horn
412	Children Playing
413	Jackhammer
414	Car Horn
415	Children Playing
